hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
143,11,121,722,10,8,11,9,10,13,21,45,88,85,55,40,32,26,24,23,21,22,18,16,16,17,13,14,17,14,14,13,13,14
178,3,14,311,13,12,13,13,9,8,11,10,11,10,10,10,8,9,12,10,10,11,11,11,11,11,10,9,9,10,10,11,8,10
178,3,13,654,38,86,70,49,35,27,24,22,20,19,16,15,16,16,16,15,14,14,13,13,11,10,10,14,13,14,13,9,10,12
178,3,8,326,10,12,9,10,9,10,11,9,9,13,11,10,9,12,10,8,10,12,10,11,14,14,12,14,12,11,13,11,11,9
178,3,12,798,36,76,63,55,62,54,44,37,31,24,23,23,19,17,18,18,17,16,16,15,14,14,13,16,11,14,14,15,11,12
178,3,11,613,9,12,11,15,24,27,24,32,46,44,36,30,26,24,20,22,20,18,17,16,16,15,12,14,15,14,16,14,13,11
178,3,10,603,13,8,12,11,10,9,12,10,15,16,16,20,25,24,28,41,49,48,38,30,23,22,18,18,15,16,14,17,13,12
178,3,9,573,9,10,8,8,11,10,11,10,9,11,10,11,13,12,12,17,33,45,38,33,44,39,31,26,22,22,19,16,15,18
181,11,83,315,9,11,11,9,10,11,9,12,11,10,11,11,7,10,13,11,10,7,11,10,13,10,12,11,11,11,12,9,12,10
181,11,82,623,36,79,66,45,29,26,23,18,18,17,13,19,17,15,14,12,15,15,15,12,14,10,11,14,10,12,13,11,13,11
181,11,81,1178,67,150,125,95,84,71,58,48,42,35,36,31,27,28,26,23,19,22,20,20,17,18,15,14,15,15,13,16,14,14
181,11,77,1355,7,12,12,10,9,12,10,11,9,10,8,9,10,8,9,10,9,12,15,24,87,264,260,162,102,73,57,49,42,43
181,11,80,1231,17,27,24,31,50,58,62,65,74,73,70,66,77,74,59,47,41,38,34,31,28,26,24,21,20,19,20,21,15,19
181,11,79,1938,11,11,8,11,11,11,14,17,22,27,40,66,140,174,141,123,134,135,120,97,86,107,94,74,57,50,43,43,36,35
181,11,78,3203,10,9,7,10,6,10,10,11,9,10,11,15,23,33,32,42,73,96,92,91,237,606,581,366,228,162,130,110,96,87
183,10,87,399,12,7,12,11,11,11,8,10,10,11,11,9,10,11,10,13,13,15,19,21,21,25,21,16,17,13,13,13,12,13
183,10,86,310,9,11,10,11,11,12,12,11,7,10,11,9,10,10,7,11,11,11,12,12,10,11,7,12,11,10,11,11,10,9
